species,parameter,value_min,value_max,value_text,unit,is_missing,evidence_grade,evidence_rank,has_conflict,note,source_url,source_url_valid
Datura stramonium,LEGAL STATUS,,,restricted,,False,not_applicable,,False,"All parts lethally toxic. The Egyptian Drug Authority publishes a herbal monograph classifying it prescription-only and potentially harmful without medical supervision, and records it as confined to the Nile region. It is a declared noxious weed in Kenya, South Africa and Australia, and some countries prohibit cultivation entirely. No Egypt-specific cultivation ban was found, but a tropane-alkaloid crop would require pharmaceutical licensing rather than ordinary crop status.",https://www.edaegypt.gov.eg/media/jjvbyr15/datura-stramonium-l-%D8%AF%D8%A7%D8%AA%D9%88%D8%B1%D8%A7.pdf,True
Datura stramonium,crop_cycle_days_leaf,56.0,56.0,,,False,database,4.0,False,"Best time for harvesting leaves is 8 weeks after sowing, when alkaloid content peaks. Seed crop derived: flowering 5-9 weeks after emergence, capsules opening about 7 weeks after fertilisation. Indian yield reference 1-1.5 t leaves/ha and 500-600 kg seed/ha.",https://temperate.theferns.info/plant/Datura+stramonium,True
Datura stramonium,crop_cycle_days_seed,140.0,140.0,,,False,database,4.0,False,"Best time for harvesting leaves is 8 weeks after sowing, when alkaloid content peaks. Seed crop derived: flowering 5-9 weeks after emergence, capsules opening about 7 weeks after fertilisation. Indian yield reference 1-1.5 t leaves/ha and 500-600 kg seed/ha.",https://temperate.theferns.info/plant/Datura+stramonium,True
Datura stramonium,temperature_c_abs_max,40.0,40.0,,,False,derived,6.0,False,No ceiling temperature is published. At 40 C growth is significantly depressed but plants survive; 50 C is severely stressing. 40 C used as the growth ceiling.,https://ijpsr.com/bft-article/temperature-stress-mediated-consequences-on-physiology-and-secondary-metabolites-of-datura-stramonium-l/,True
Datura stramonium,temperature_c_abs_min,10.0,10.0,,,False,measured (proxy),2.0,False,"Base temperature for germination is 8-11 C; 0 percent germination at a constant 8 C, peak 89.7 percent at 20 C across Italian, Portuguese and Spanish populations. Used as a proxy for the growth floor; no vegetative growth-floor experiment exists.",https://cals.cornell.edu/weed-science/weed-profiles/jimsonweed,True
Datura stramonium,temperature_c_opt_max,30.0,30.0,,,False,derived,6.0,False,"EcoCrop gives no temperature for this species. Derived from a seedling temperature-stress study (best growth at 25 C control; stem length, root length, fresh and dry weight and leaf area all significantly reduced at 10, 20, 40 and 50 C) combined with the measured germination optimum of 20-35 C.",https://ijpsr.com/bft-article/temperature-stress-mediated-consequences-on-physiology-and-secondary-metabolites-of-datura-stramonium-l/,True
Datura stramonium,temperature_c_opt_min,20.0,20.0,,,False,derived,6.0,False,"EcoCrop gives no temperature for this species. Derived from a seedling temperature-stress study (best growth at 25 C control; stem length, root length, fresh and dry weight and leaf area all significantly reduced at 10, 20, 40 and 50 C) combined with the measured germination optimum of 20-35 C.",https://ijpsr.com/bft-article/temperature-stress-mediated-consequences-on-physiology-and-secondary-metabolites-of-datura-stramonium-l/,True
Hyoscyamus muticus,crop_cycle_days,120.0,140.0,,,False,measured,1.0,False,"Cairo University: sown 26 Feb, harvested 18-20 weeks after sowing. A second Cairo study sampled at full bloom 120 days from sowing.",https://www.mdpi.com/2073-4395/10/7/921,True
Hyoscyamus muticus,rainfall_mm_abs_min,2.0,2.0,,,False,habitat,5.0,False,Its Eastern Desert habitat receives an average annual precipitation of 1.69 mm. PROTA notes irrigation raises leaf yield but LOWERS alkaloid content.,http://database.prota.org/PROTAhtml/Hyoscyamus%20muticus_En.htm,True
Hyoscyamus muticus,soil_ph_abs_max,8.5,8.5,,,False,habitat,5.0,False,"Recorded on the species list of Wadi Hagul, Eastern Desert, where soils measure pH 7.4-8.5. Cultivated successfully on loamy clay at Giza. Ecological association, not a controlled pH experiment.",https://www.mdpi.com/2223-7747/10/9/1906,True
Hyoscyamus muticus,soil_ph_abs_min,7.4,7.4,,,False,habitat,5.0,False,"Recorded on the species list of Wadi Hagul, Eastern Desert, where soils measure pH 7.4-8.5. Cultivated successfully on loamy clay at Giza. Ecological association, not a controlled pH experiment.",https://www.mdpi.com/2223-7747/10/9/1906,True
Hyoscyamus muticus,temperature_c_abs_max,40.0,40.0,,,False,habitat,5.0,False,Native across the Egyptian Eastern Desert where mean monthly maximum reaches 38.9 C in August and mean annual air temperature is 26.4 C.,https://www.mdpi.com/1424-2818/15/7/874,True
Hyoscyamus muticus,temperature_c_abs_min,10.0,10.0,,,False,habitat,5.0,False,Native across the Egyptian Eastern Desert where mean monthly maximum reaches 38.9 C in August and mean annual air temperature is 26.4 C.,https://www.mdpi.com/1424-2818/15/7/874,True
Hyoscyamus muticus,temperature_c_opt_max,30.0,30.0,,,False,measured,1.0,False,"Cairo University germination study used a 20-30 C regime, 61.9% germination at 21 days. Note this is a germination optimum, not a vegetative optimum.",https://www.curresweb.com/csi/csi/2016/8-25.pdf,True
Hyoscyamus muticus,temperature_c_opt_min,20.0,20.0,,,False,measured,1.0,False,"Cairo University germination study used a 20-30 C regime, 61.9% germination at 21 days. Note this is a germination optimum, not a vegetative optimum.",https://www.curresweb.com/csi/csi/2016/8-25.pdf,True
Matricaria chamomilla,crop_cycle_days,140.0,150.0,,,False,measured,1.0,False,"Ain Shams: nursery sowing 26 Sep, transplant 1 Dec, final harvest ~140 days. Flowers picked repeatedly at 12-15 day intervals.",https://www.curresweb.com/mejar/mejar/2017/76-86.pdf,True
Matricaria chamomilla,rainfall_mm_abs_max,1300.0,1300.0,,,False,database,4.0,False,"Useful Tropical Plants. Corroborated by a fully rainfed crop at 550-650 mm in Gorgan, Iran.",https://tropical.theferns.info/viewtropical.php?id=Matricaria+chamomilla,True
Matricaria chamomilla,rainfall_mm_abs_min,300.0,300.0,,,False,database,4.0,False,"Useful Tropical Plants. Corroborated by a fully rainfed crop at 550-650 mm in Gorgan, Iran.",https://tropical.theferns.info/viewtropical.php?id=Matricaria+chamomilla,True
Matricaria chamomilla,rainfall_mm_opt_max,1000.0,1000.0,,,False,database,4.0,False,"Useful Tropical Plants. Corroborated by a fully rainfed crop at 550-650 mm in Gorgan, Iran.",https://tropical.theferns.info/viewtropical.php?id=Matricaria+chamomilla,True
Matricaria chamomilla,rainfall_mm_opt_min,700.0,700.0,,,False,database,4.0,False,"Useful Tropical Plants. Corroborated by a fully rainfed crop at 550-650 mm in Gorgan, Iran.",https://tropical.theferns.info/viewtropical.php?id=Matricaria+chamomilla,True
Matricaria chamomilla,soil_ph_abs_max,8.3,8.3,,,False,measured,1.0,True,"CONFLICT DISCLOSED: the database ceiling is 7.0, but Ain Shams University grew a successful crop at Shoubra El-Kheima on soil of pH 7.77 and 8.27. Egyptian field evidence used; database figure recorded as a documented conflict.",https://www.curresweb.com/mejar/mejar/2017/76-86.pdf,True
Matricaria chamomilla,soil_ph_opt_max,7.0,7.0,,,False,database,4.0,False,"Useful Tropical Plants: prefers pH 5.5-6.5, tolerates 5-7.",https://tropical.theferns.info/viewtropical.php?id=Matricaria+chamomilla,True
Matricaria chamomilla,soil_ph_opt_min,5.5,5.5,,,False,database,4.0,False,"Useful Tropical Plants: prefers pH 5.5-6.5, tolerates 5-7.",https://tropical.theferns.info/viewtropical.php?id=Matricaria+chamomilla,True
Matricaria chamomilla,temperature_c_abs_max,30.0,30.0,,,False,database,4.0,False,Useful Tropical Plants: tolerates 6-30 C. Dormant plants survive -5 C; young growth damaged at 0 C.,https://tropical.theferns.info/viewtropical.php?id=Matricaria+chamomilla,True
Matricaria chamomilla,temperature_c_abs_min,6.0,6.0,,,False,database,4.0,False,Useful Tropical Plants: tolerates 6-30 C. Dormant plants survive -5 C; young growth damaged at 0 C.,https://tropical.theferns.info/viewtropical.php?id=Matricaria+chamomilla,True
Matricaria chamomilla,temperature_c_opt_max,25.0,25.0,,,False,database,4.0,False,Useful Tropical Plants: grows best at annual daytime temperatures of 19-25 C.,https://tropical.theferns.info/viewtropical.php?id=Matricaria+chamomilla,True
Matricaria chamomilla,temperature_c_opt_min,19.0,19.0,,,False,database,4.0,False,Useful Tropical Plants: grows best at annual daytime temperatures of 19-25 C.,https://tropical.theferns.info/viewtropical.php?id=Matricaria+chamomilla,True
Silybum marianum,EGYPT SUITABILITY,,,"good, but season-bound",,False,not_applicable,,False,"Grows wild across Egypt including Assiut, Middle Egypt, three Delta sites and three Mediterranean coast sites, with Delta populations giving the highest silymarin content. The binding constraint is thermal season, not pH: germination optimum is 2-15 C, so it must be autumn sown in October or November and harvested May to June. A spring or summer sowing will fail. Successfully trialled in an analogous hot arid irrigated setting at Al-Hassa, Saudi Arabia.",https://www.mdpi.com/2073-4395/9/11/669/htm,True
Silybum marianum,soil_ph HIGHEST MEASURED,7.9,7.9,,,False,measured,1.0,False,"Plants completed a full cycle from rosette through bolting and flowering to viable seed on Greek field soils measured at pH 7.8 and 7.9. A two-season Greek field crop at Velestino was grown on sandy clay loam at pH 7.4. Everything above pH 8.0 in this dataset is extrapolation from database alkaline-tolerance classes, not measurement.",https://link.springer.com/article/10.1007/s41207-023-00430-x,True
Silybum marianum,soil_ph_abs_max,8.5,8.5,,,False,derived,6.0,False,PFAF states it can grow in very alkaline soils; RHS lists soil pH as alkaline or neutral with acid not listed; Useful Temperate Plants states it prefers a calcareous soil. 8.5 is the conventional upper bound of the strongly alkaline class.,https://pfaf.org/user/Plant.aspx?LatinName=Silybum+marianum,True
Silybum marianum,soil_ph_abs_min,5.0,5.0,,,False,derived,6.0,False,PFAF states it can grow in very alkaline soils; RHS lists soil pH as alkaline or neutral with acid not listed; Useful Temperate Plants states it prefers a calcareous soil. 8.5 is the conventional upper bound of the strongly alkaline class.,https://pfaf.org/user/Plant.aspx?LatinName=Silybum+marianum,True
Silybum marianum,soil_ph_opt_max,7.6,7.6,,,False,database,4.0,False,EcoCrop gives no pH for this species. The agronomic cultivation literature states it is suited to soils with a pH between 5.5 and 7.6; lower bound raised to 6.0 to reflect its calcareous preference.,https://www.mdpi.com/2073-4395/12/3/729,True
Silybum marianum,soil_ph_opt_min,6.0,6.0,,,False,database,4.0,False,EcoCrop gives no pH for this species. The agronomic cultivation literature states it is suited to soils with a pH between 5.5 and 7.6; lower bound raised to 6.0 to reflect its calcareous preference.,https://www.mdpi.com/2073-4395/12/3/729,True
Silybum marianum,soil_salinity,9.0,30.0,reported range,dS/m,False,measured,1.0,False,Salinity response is ecotype dependent; silymarin remains extractable under saline conditions.,https://www.nature.com/articles/s41598-021-02435-4,True
Vinca minor,EGYPT SUITABILITY,,,marginal,,False,not_applicable,,False,"Seed requires acid scarification plus 90 days cold stratification and is rarely set in cultivation, so Egyptian production must be entirely vegetative. It is a shade plant (EIVE light 3.9/10) and a glycophyte. Plausible only on Delta soils at pH 7.5 or below, under shade net, with continuous good-quality irrigation.",https://www.fs.usda.gov/database/feis/plants/vine/vinspp/all.html,True
Vinca minor,crop_cycle_days,730.0,730.0,,,False,database,4.0,False,Perennial groundcover reaching full ground cover in 2 years from 60 cm spacing. No published years-to-harvest for vincamine production.,https://temperate.theferns.info/plant/Vinca+minor,True
Vinca minor,rainfall_mm_opt_max,1367.0,1367.0,,,False,habitat,5.0,False,"Annual precipitation across documented occupied sites: New York 890, Illinois 963, West Virginia 1209, Georgia 1211-1367 mm.",https://www.fs.usda.gov/database/feis/plants/vine/vinspp/all.html,True
Vinca minor,rainfall_mm_opt_min,890.0,890.0,,,False,habitat,5.0,False,"Annual precipitation across documented occupied sites: New York 890, Illinois 963, West Virginia 1209, Georgia 1211-1367 mm.",https://www.fs.usda.gov/database/feis/plants/vine/vinspp/all.html,True
Vinca minor,soil_ph_abs_max,8.0,8.0,,,False,database,4.0,False,"Cornell Woody Plants Database states tolerance of acid to alkaline soil, pH 5.0 to 8.0. Corroborated: PFAF lists acid/neutral/basic but withholds the 'very alkaline' flag, and EIVE Reaction is 6.6/10 (circumneutral).",https://woodyplants.cals.cornell.edu/plant/print/284,True
Vinca minor,soil_ph_abs_min,5.0,5.0,,,False,database,4.0,False,"Cornell Woody Plants Database states tolerance of acid to alkaline soil, pH 5.0 to 8.0. Corroborated: PFAF lists acid/neutral/basic but withholds the 'very alkaline' flag, and EIVE Reaction is 6.6/10 (circumneutral).",https://woodyplants.cals.cornell.edu/plant/print/284,True
Vinca minor,soil_ph_opt_max,7.2,7.2,,,False,measured,1.0,False,Field-measured soils under established stands in France.,https://www.fs.usda.gov/database/feis/plants/vine/vinspp/all.html,True
Vinca minor,soil_ph_opt_min,6.7,6.7,,,False,measured,1.0,False,Field-measured soils under established stands in France.,https://www.fs.usda.gov/database/feis/plants/vine/vinspp/all.html,True
Vinca minor,temperature_c_abs_max,28.0,28.0,,,False,derived,6.0,False,"Upper bound from the hottest documented occupied site (SW Georgia, mean July 27.9 C, USDA Forest Service FEIS). Lower bound set conservatively; FEIS records persistence at a mean January temperature of -22.1 C but that is survival, not a growth floor.",https://www.fs.usda.gov/database/feis/plants/vine/vinspp/all.html,True
Vinca minor,temperature_c_abs_min,5.0,5.0,,,False,derived,6.0,False,"Upper bound from the hottest documented occupied site (SW Georgia, mean July 27.9 C, USDA Forest Service FEIS). Lower bound set conservatively; FEIS records persistence at a mean January temperature of -22.1 C but that is survival, not a growth floor.",https://www.fs.usda.gov/database/feis/plants/vine/vinspp/all.html,True
Vinca minor,temperature_c_opt_max,25.0,25.0,,,False,derived,6.0,False,Derived from the temperate range of documented occupied sites and an EIVE temperature indicator of 5.9/10 (submontane-temperate). No published optimum exists.,https://www.floraveg.eu/en/taxon/overview/Vinca%20minor,True
Vinca minor,temperature_c_opt_min,10.0,10.0,,,False,derived,6.0,False,Derived from the temperate range of documented occupied sites and an EIVE temperature indicator of 5.9/10 (submontane-temperate). No published optimum exists.,https://www.floraveg.eu/en/taxon/overview/Vinca%20minor,True
